,target_id,target_name,outcome_id,outcome_name,episodic,chronic
93,1785,[DaSH] Prostate cancer + ADT,1805,[DaSH] Urinary tract infections,1,0
94,1785,[DaSH] Prostate cancer + ADT,1807,[DaSH] Radiation procititis,1,0
95,1785,[DaSH] Prostate cancer + ADT,1808,[DaSH] Neutropenia,1,0
96,1785,[DaSH] Prostate cancer + ADT,1809,[DaSH] Hospitalization,1,0
97,1786,[DaSH] Prostate cancer + ADT + ARPI,1789,[DaSH] RP,0,1
98,1786,[DaSH] Prostate cancer + ADT + ARPI,1790,[DaSH] Radiotherapy,0,1
99,1786,[DaSH] Prostate cancer + ADT + ARPI,1791,[DaSH] Focal therapy,0,1
100,1786,[DaSH] Prostate cancer + ADT + ARPI,1792,[DaSH] ADT,0,1
101,1786,[DaSH] Prostate cancer + ADT + ARPI,1795,[DaSH] Chemo,0,1
102,1786,[DaSH] Prostate cancer + ADT + ARPI,1797,[DaSH] Metastasis,0,1
103,1786,[DaSH] Prostate cancer + ADT + ARPI,1798,[DaSH] Metastasis to bones,0,1
104,1786,[DaSH] Prostate cancer + ADT + ARPI,1799,[DaSH] Metastasis to lymph nodes,0,1
105,1786,[DaSH] Prostate cancer + ADT + ARPI,1800,[DaSH] Metastasis to other visceral,0,1
106,1786,[DaSH] Prostate cancer + ADT + ARPI,1802,[DaSH] Death,0,1
107,1786,[DaSH] Prostate cancer + ADT + ARPI,1803,[DaSH] Urinary retention,1,0
108,1786,[DaSH] Prostate cancer + ADT + ARPI,1804,[DaSH] Urinary Incontinence,1,0
109,1786,[DaSH] Prostate cancer + ADT + ARPI,1805,[DaSH] Urinary tract infections,1,0
110,1786,[DaSH] Prostate cancer + ADT + ARPI,1807,[DaSH] Radiation procititis,1,0
111,1786,[DaSH] Prostate cancer + ADT + ARPI,1808,[DaSH] Neutropenia,1,0
112,1786,[DaSH] Prostate cancer + ADT + ARPI,1809,[DaSH] Hospitalization,1,0
113,1787,[DaSH] Prostate cancer + ADT + Chemo,1789,[DaSH] RP,0,1
114,1787,[DaSH] Prostate cancer + ADT + Chemo,1790,[DaSH] Radiotherapy,0,1
115,1787,[DaSH] Prostate cancer + ADT + Chemo,1791,[DaSH] Focal therapy,0,1
116,1787,[DaSH] Prostate cancer + ADT + Chemo,1792,[DaSH] ADT,0,1
117,1787,[DaSH] Prostate cancer + ADT + Chemo,1795,[DaSH] Chemo,0,1
118,1787,[DaSH] Prostate cancer + ADT + Chemo,1797,[DaSH] Metastasis,0,1
119,1787,[DaSH] Prostate cancer + ADT + Chemo,1798,[DaSH] Metastasis to bones,0,1
120,1787,[DaSH] Prostate cancer + ADT + Chemo,1799,[DaSH] Metastasis to lymph nodes,0,1
121,1787,[DaSH] Prostate cancer + ADT + Chemo,1800,[DaSH] Metastasis to other visceral,0,1
122,1787,[DaSH] Prostate cancer + ADT + Chemo,1802,[DaSH] Death,0,1
123,1787,[DaSH] Prostate cancer + ADT + Chemo,1803,[DaSH] Urinary retention,1,0
124,1787,[DaSH] Prostate cancer + ADT + Chemo,1804,[DaSH] Urinary Incontinence,1,0
125,1787,[DaSH] Prostate cancer + ADT + Chemo,1805,[DaSH] Urinary tract infections,1,0
126,1787,[DaSH] Prostate cancer + ADT + Chemo,1807,[DaSH] Radiation procititis,1,0
127,1787,[DaSH] Prostate cancer + ADT + Chemo,1808,[DaSH] Neutropenia,1,0
128,1787,[DaSH] Prostate cancer + ADT + Chemo,1809,[DaSH] Hospitalization,1,0
129,1794,[DaSH] Prostate cancer + ADT + ARPI + Chemo,1789,[DaSH] RP,0,1
130,1794,[DaSH] Prostate cancer + ADT + ARPI + Chemo,1790,[DaSH] Radiotherapy,0,1
131,1794,[DaSH] Prostate cancer + ADT + ARPI + Chemo,1791,[DaSH] Focal therapy,0,1
132,1794,[DaSH] Prostate cancer + ADT + ARPI + Chemo,1792,[DaSH] ADT,0,1
133,1794,[DaSH] Prostate cancer + ADT + ARPI + Chemo,1795,[DaSH] Chemo,0,1
134,1794,[DaSH] Prostate cancer + ADT + ARPI + Chemo,1797,[DaSH] Metastasis,0,1
135,1794,[DaSH] Prostate cancer + ADT + ARPI + Chemo,1798,[DaSH] Metastasis to bones,0,1
136,1794,[DaSH] Prostate cancer + ADT + ARPI + Chemo,1799,[DaSH] Metastasis to lymph nodes,0,1
137,1794,[DaSH] Prostate cancer + ADT + ARPI + Chemo,1800,[DaSH] Metastasis to other visceral,0,1
138,1794,[DaSH] Prostate cancer + ADT + ARPI + Chemo,1802,[DaSH] Death,0,1
139,1794,[DaSH] Prostate cancer + ADT + ARPI + Chemo,1803,[DaSH] Urinary retention,1,0
140,1794,[DaSH] Prostate cancer + ADT + ARPI + Chemo,1804,[DaSH] Urinary Incontinence,1,0
141,1794,[DaSH] Prostate cancer + ADT + ARPI + Chemo,1805,[DaSH] Urinary tract infections,1,0
142,1794,[DaSH] Prostate cancer + ADT + ARPI + Chemo,1807,[DaSH] Radiation procititis,1,0
143,1794,[DaSH] Prostate cancer + ADT + ARPI + Chemo,1808,[DaSH] Neutropenia,1,0
144,1794,[DaSH] Prostate cancer + ADT + ARPI + Chemo,1809,[DaSH] Hospitalization,1,0
